Title	Artist	Label	Year
Pierre Boulez Conducts Schoenberg, Eloy, Pousseur	Pierre Boulez	Everest	1968
Salvador Kali	Rick Bishop	Exiled Records	2016
Ghostwalking	New War	Fast Weapons	2011
Mr. Wizard	R.L. Burnside	Fat Possum Records	0
Pee-Wee Get My Gun	T-Model Ford	Fat Possum Records	2004
Sad Days Lonely Nights	Junior Kimbrough And The Soul Blues Boys	Fat Possum Records	0
Too Bad Jim	R.L. Burnside	Fat Possum Records	1994
All Night Long	Junior Kimbrough And The Soul Blues Boys	Fat Possum Records	2009
Most Things Haven't Worked Out	Junior Kimbrough	Fat Possum Records	2009
Off Yonder Wall	The Jelly Roll Kings	Fat Possum Records	1997
The Horror Of It All	Cedell Davis	Fat Possum Records	1998
God Knows I Tried	Junior Kimbrough	Fat Possum Records	2009
Worried	Asie Payton	Fat Possum Records	1999
Wish I Was In Heaven Sitting Down	R.L. Burnside	Fat Possum Records	2000
Mama Says I'm Crazy	Fred McDowell	Fat Possum Records	0
Remember Me	Charles Caldwell	Fat Possum Records	2011
Ain't A Gonna Lie To You	Joe Callicott	Fat Possum Records	2003
First Recordings	R.L. Burnside	Fat Possum Records	2008
Mule	Paul Jones (2)	Fat Possum Records	1998
Takes One To Know One	Elmo Williams	Fat Possum Records	1997
Come On In	R.L. Burnside	Fat Possum Records	1998
Platinum Breakz	Various	FFRR	1996
Pickin' The Blues	Doc & Merle Watson	Flying Fish (2)	1985
American Banjo Tunes & Songs In Scruggs Style	Various	Folkways Records	1966
New American Music Volume 3	Talib Rasul Hakim	Folkways Records	1975
Deviate From Balance	John Wiese	Gilgongo Records	2015
Heavyweight Dub Champion	Scientist	Greensleeves Records	1980
Scientist Rids The World Of The Evil Curse Of The Vampires	Scientist	Greensleeves Records	1981
Mister Yellowman	Yellowman	Greensleeves Records	1982
Zungguzungguguzungguzeng	Yellowman	Greensleeves Records	1983
16 Greatest Hits	Grandpa Jones	Gusto Records (2)	1977
Modern Jester	Aaron Dilloway	Hanson Records	2012
Trace	Phil Julian	Harbinger Sound	2014
The Chanting Dread Inna Fine Style	Big Youth	Heartbeat Records (2)	1982
Relief	Robert Millis	Helen Scarsdale Agency	2013
The Decline Effect	Jim Haynes	Helen Scarsdale Agency	2011
Free Piano b/w Hypersomnia	Merzbow	Helicopter	2005
Computer Music From The University Of Illinois	Lejaren Hiller	Heliodor	1967
The Young Fogies	Various	Heritage Records (7)	1985
Squirrel Bait	Squirrel Bait	Homestead Records	1985
There Is A Part Of Me That You Will Never Know	Wolf Eyes	Hospital Productions	2008
Living With Ghosts	Sigha	Hotflush Recordings	2012
Pierres Sacrées / Hazard And Tectonics	Iancu Dumitrescu	Ideologic Organ	2013
12 Stationer VI	Ákos Rózmann	Ideologic Organ	2012
Saxophone Improvisations Series F.	Anthony Braxton	Inner City Records	1976
Reggae Greats	Linton Kwesi Johnson	Island Records	1984
Quasar ⇔ Lanterns	Sergei Tcherepnin	ISSUE Project Room	2015
Commandments Of Dub Chapter 2	Jah Shaka	Jah Shaka Music	1984
Commandments Of Dub 4 - Dub Almighty	Jah Shaka	Jah Shaka Music	1985
Part 2 - Addis Ababa	The Disciples (2)	Jah Shaka Music	1992
The Commandments Of Dub	Jah Shaka	Jah Shaka Music	1982
Fly Me To The Moon And The Bossa Nova Pops	Joe Harnell & His Orchestra	Kapp Records	1963
Our Song	Jack Jones	Kapp Records	1967
Silver Apples Of The Moon	Morton Subotnick	Karlrecords	2014
La Légende D'Eer	Iannis Xenakis	Karlrecords	2016
Douze Inventions En Six Modes De Jeu	Guy Reibel	Karlrecords	2015
Complete Song Books	John Cage	Karlrecords	2016
Grandpa Jones Sings His Greatest Hits	Grandpa Jones	King Records (3)	1958
The 10 String Guitar Plays Spanish Classics	Joaquín Rodrigo	Klavier Records	1975
Virgins	Tim Hecker	Kranky	2013
Exotic Exit	Vanessa Rossetto	Kye	2012
Whole Stories	Vanessa Rossetto	Kye	2014
In Dubs	Roll The Dice	Leaf	2012
Chamber Symphony Op. 9 / Variations Op. 31	Arnold Schoenberg	London Records	1969
Arcana / Intégrales / Ionisation	Edgard Varèse	London Records	1972
Mr. Music...	Mantovani	London Records	1966
Hollywood	Mantovani	London Records	1967
The New Ebb Tide	Frank Chacksfield & His Orchestra	London Records	1964
Lute Songs	Julian Bream	London Records	1981
Shostakovich String Quartet No. 10 Op. 118 / Berg String Quartet Op. 3	Dmitri Shostakovich	London Records	0
A George Gershwin Festival	George Gershwin	Longines Symphonette Society	0
A Cole Porter Festival	Cole Porter	Longines Symphonette Society	0
A Jerome Kern Festival	Jerome Kern	Longines Symphonette Society	0
Hell On Earth	Mobb Deep	Loud Records	1996
Presents... Beats, Rhymes & Battles Vol.1	Red Alert	Loud Records	2001
Bean Blossom '79	Bill Monroe	MCA Records	1980
Bill Monroe And Stars Of The Bluegrass Hall Of Fame	Bill Monroe	MCA Records	1985
Bloch — Concerto Grosso No. 1 / Schoenberg — Five Pieces For Orchestra	Ernest Bloch	Mercury	1975
Blackout	Scorpions	Mercury	1982
In The Aeroplane Over The Sea	Neutral Milk Hotel	Merge Records	1998
Panoramic Glass And Mirror	Gerritt	Misanthropic Agenda	2010
John Cage Meets Sun Ra  The Complete Concert   June 8, 1986  Coney Island, NY	John Cage	Modern Harmonic	2016
Passed Me By	Andy Stott	Modern Love	2012
We Stay Together	Andy Stott	Modern Love	2012
Luxury Problems	Andy Stott	Modern Love	2012
Steve Reich At UC Berkeley University Museum 11.7.1970	Steve Reich	modern silence	2016
Symphonie Pour Un Homme Seul / Concerto Des Ambiguïtés	Pierre Schaeffer	modern silence	2016
Studie I / Studie II / Gesang der Junglinge / Zyklus fur zwei Schlagzeugern	Karlheinz Stockhausen	modern silence	2016
Beton-Studie / Zeitmass Fur Funf Holzblaser / Klavierstuck XI	Karlheinz Stockhausen	modern silence	2016
The 25-Year Retrospective Concert Of The Music Of John Cage	John Cage	modern silence	2016
Musique Concrète	Various	modern silence	2016
All The Great Hits	Commodores	Motown	1982
Daft Jarring Effects	Contagious Orgasm	Multi National Disaster Records	2004
Pay It All Back Volume 2	Various	Nettwerk	1988
Americana / The Odes Of Shang / To Music	Randall Thompson	New World Records	1977
Chamber Music By Lou Harrison, Ben Weber, Lukas Foss, Ingolf Dahl	Various	New World Records	1976
Works By: Henry Cowell / Wallingford Riegger / John J. Becker / Ruth Crawford Seeger	Henry Cowell	New World Records	1978
Parnassus Plays Works By Stefan Wolpe, Mario Davidovsky, Charles Wuorinen, Erik Lundborg, David Olan	Parnassus (2)	New World Records	1980
Piano Works	George Perle	New World Records	1987
Piano Concerto / Variations For Orchestra	Elliott Carter	New World Records	1986
Concerto For Piano And Orchestra · The Head Of The Bed	Milton Babbitt	New World Records	1987
Testicle Difficulties	The Broken Penis Orchestra	Nihilist	2005
Two On A Match	Carlos Giffoni	No Fun Productions	2009
I Am Real	Carlos Giffoni	No Fun Productions	2005
Streichquartett Nr. 1 In F Moll Op. 10 / Rispetti E Strambotti Für Streichquartett	Paul Hindemith	Nonesuch	1968
Serenade For Seven Instruments & Bass Voice, Op. 24	Arnold Schoenberg	Nonesuch	1976
Concerto For 3 Violins And Orchestra In D Major | Concerto For Flute, Violin, Harpsichord In A Minor	Johann Sebastian Bach	Nonesuch	1965
Piano Sonata No. 1	Charles Ives	Nonesuch	1967
5 Pieces For Orchestra / Cantata No. 1 / Dumbarton Oaks Concerto	Arnold Schoenberg	Nonesuch	1968
Concerto For Prepared Piano & Orchestra / Baroque Variations	John Cage	Nonesuch	1968
Spectrum: New American Music, Volume I	Fred Myrow	Nonesuch	1969
Spectrum: New American Music, Volume II	Stefan Wolpe	Nonesuch	0
Spectrum: New American Music Volume III	Jacob Druckman	Nonesuch	0
HPSCHD / String Quartet No. 2	John Cage	Nonesuch	1969
Time's Encomium (For Synthesized & Processed Synthesized Sound)	Charles Wuorinen	Nonesuch	1969
The Nude Paper Sermon	Eric Salzman	Nonesuch	1969
Sonata For Flute, Oboe, Cello & Harpsichord / Sonata For Cello & Piano	Elliott Carter	Nonesuch	1969
Sonata For Flute, Oboe, Cello & Harpsichord / Sonata For Cello & Piano	Elliott Carter	Nonesuch	1969
String Quartets Nos. 1 & 2	Elliott Carter	Nonesuch	1970
Ancient Voices Of Children	George Crumb	Nonesuch	1971
New Music For Organ	William Bolcom	Nonesuch	1971
Chamber Concerto For Cello & 10 Players / Ringing Changes, For Percussion Ensemble	Charles Wuorinen	Nonesuch	1971
Offrandes / Intégrales / Octandre / Ecuatorial	Edgard Varèse	Nonesuch	1972
String Quartet / String Quartet No. 5 / String Quartet No. 2	Ruth Crawford Seeger	Nonesuch	1973
String Quartet No. 3	George Rochberg	Nonesuch	1973
Eight Songs For A Mad King	Peter Maxwell Davies	Nonesuch	1973
Music For Male Chorus	Leoš Janáček	Nonesuch	1973
Notturno / Speculum Speculi	Donald Martino	Nonesuch	1974
Spectrum: New American Music, Volume IV	Stefan Wolpe	Nonesuch	1974
Spectrum: New American Music, Volume V	Milton Babbitt	Nonesuch	1974
String Quartets Nos. 1 & 2	Charles Ives	Nonesuch	1975
Piano Music	Arnold Schoenberg	Nonesuch	1975
Double Concerto For Harpsichord And Piano With Two Chamber Orchestras / Duo For Violin And Piano	Elliott Carter	Nonesuch	0
Double Concerto For Harpsichord And Piano With Two Chamber Orchestras / Duo For Violin And Piano	Elliott Carter	Nonesuch	0
Piano Music	Darius Milhaud	Nonesuch	1975
String Trio / Bearbeitungen Über Das Glogauer Liederbuch / Grand Bamboula	Charles Wuorinen	Nonesuch	1975
Etudes For Piano, Books I & II	Claude Debussy	Nonesuch	1976
Piano Etudes	Béla Bartók	Nonesuch	1976
Piano Sonata No. 2 "Concord, Mass., 1840-60"	Charles Ives	Nonesuch	1977
Music For Two Pianos & Piano Four Hands	Igor Stravinsky	Nonesuch	1978
New American Music For Chamber Ensemble	John Heiss	Nonesuch	1978
Percussion Symphony	Charles Wuorinen	Nonesuch	1978
Images (1894) • Estampes • Images, Series I & II	Claude Debussy	Nonesuch	1979
Triple Concerto / Arie Da Capo	Donald Martino	Nonesuch	1980
Preludes For Piano - Books I & II	Claude Debussy	Nonesuch	1978
Twentieth-Century Flute Music (Works By Berio, Davidovsky, Fukushima, Levy, Reynolds, Roussakis, Trombly, Varèse, Westergaard, Wuorinen)	Harvey Sollberger	Nonesuch	1975
A Solo Requiem / Haiku Settings • Filigree Setting • Three Synthesizer Settings	Milton Babbitt	Nonesuch	1981
Triple Duo • In Sleep,  In Thunder · 	Elliott Carter	Nonesuch Digital	1986
Night Fantasies · Piano Sonata	Elliott Carter	Nonesuch	1983
(((GRRRLS)))	Parenthetical Girls	Not On Label (Parenthetical Girls Self-released)	2004
Pierrot Lunaire Op. 21	Arnold Schoenberg	Odyssey	1974
Mikrokosmos; Contrasts	Béla Bartók	Odyssey	0
Diversions 1994-1996	Lee Gamble	Pan (3)	2013
Traditional Music Of Notional Species Vol. I	Rashad Becker	Pan (3)	2013
The Hollow Organ	Helm (2)	Pan (3)	2014
Circuitous	Afrikan Sciences	Pan (3)	2014
Olympic Mess	Helm (2)	Pan (3)	2015
Traditional Music of Notional Species Vol. II	Rashad Becker	Pan (3)	2016
Fanfare And Contrapunctus / Imago	Trevor Wishart	Pan (3)	2010
Venexia	Mika Vainio	Pan (3)	2012
Grapes And Snakes	Aaron Dilloway	Pan (3)	2012
Blaster	James Hoff	Pan (3)	2014
C-Section	John Wiese	Pan (3)	2010
Semikolon	Lars-Gunnar Bodin	Paradigm Discs	2013
Curse Go Back	William S. Burroughs	Paradigm Discs	2016
Getting Rid Of The Glue	Various	Pendu Sound Recordings	2006
Getting Rid Of The Glue	Various	Pendu Sound Recordings	2006
The Excusable Earthling	Talibam!	Pendu Sound Recordings	2007
Différences / Sequenza III / Sequenza VII / Due Pezzi / Chamber Music	Luciano Berio	Philips	1970
Symphonies Nos. 5 And 7	Jean Sibelius	Philips	1975
Moses Und Aron	Arnold Schoenberg	Philips	1974
Symphony No. 1, "Finlandia"	Jean Sibelius	Philips	1976
Fingers, Bank Pads, And Shoe Prints	RP Boo	Planet Mu	2015
Waldgeschichten 2	Pole	Pole	2011
Waldgeschichten 3	Pole	Pole	2012
Building 27 WNP-5	Seattle Phonographers Union	Prefecture Music	2013
Dub To Africa	Prince Far I & The Arabs	Pressure Sounds	1995
Cry Tuff Dub Encounter Chapter 3	Prince Far I	Pressure Sounds	1996
Kool Roots	Earth And Stone	Pressure Sounds	1996
Bari Workshop	Marcus Schmickler	Presto!?	2011
Solo Voice I-X	C. Spencer Yeh	Primary Information	2015
Joins The Guitar Underground	Tony Mottola	Project 3 Total Sound	1969
Electronics Without Tears	Frederick Judd	Public Information	2012
Interpretations On F.C. Judd	Various	Public Information	2013
Accidental Guitars	Geoff Mullen	R.E.L Records	2011
Tarantismo Summit Volume #1	Various	Rampage Recordings	2008
Hip, Hop, Be Bop (Don't Stop)	Man Parrish	Rams Horn Records	1983
Univrs	Alva Noto	Raster-Noton	2011
John Denver's Greatest Hits	John Denver	RCA	1973
Greatest Hits	Dolly Parton	RCA	1982
Real Love	Dolly Parton	RCA	1985
Julian And John / 2	Julian Bream	RCA Red Seal	1974
